Designator,Mid X,Mid Y,Rotation,Layer
C1,130.348,-67.168,180.0,top
C2,155.0,-71.0,90.0,top
C3,119.934,-66.152,0.0,top
C4,150.0,-79.0,90.0,top
C5,125.0,-71.0,270.0,top
J3,131.46,-64.0,0.0,top
J4,148.54,-64.0,0.0,top
J5,101.0,-82.0,270.0,top
R1,127.554,-77.582,270.0,top
R2,129.254,-77.582,90.0,top
R3,136.5,-72.75,90.0,top
R4,124.379,-60.75,180.0,top
R5,119.25,-60.75,0.0,top
R6,109.5,-83.5,0.0,top
R7,109.5,-81.5,0.0,top
SW1,104.0,-95.0,90.0,top
SW2,117.5,-113.25,270.0,top
SW3,132.5,-113.25,90.0,top
SW4,147.5,-113.25,90.0,top
SW5,162.5,-113.25,90.0,top
U1,122.5,-63.0,180.0,top
U2,133.75,-73.25,90.0,top
